[2025-08-09T08:12:55.178Z] CLEANUP: 🧹 HANDMATIGE CLEANUP GESTART
[2025-08-09T08:12:55.556Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753974340517.json (31/07/2025)
[2025-08-09T08:12:55.557Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753970740535.json (31/07/2025)
[2025-08-09T08:12:55.559Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753967140364.json (31/07/2025)
[2025-08-09T08:12:55.561Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753963540579.json (31/07/2025)
[2025-08-09T08:12:55.563Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753959940419.json (31/07/2025)
[2025-08-09T08:12:55.565Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753956340730.json (31/07/2025)
[2025-08-09T08:12:55.566Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753952740834.json (31/07/2025)
[2025-08-09T08:12:55.569Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753949140492.json (31/07/2025)
[2025-08-09T08:12:55.571Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753945540315.json (31/07/2025)
[2025-08-09T08:12:55.572Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753941940514.json (31/07/2025)
[2025-08-09T08:12:55.574Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753938340366.json (31/07/2025)
[2025-08-09T08:12:55.576Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753934740414.json (31/07/2025)
[2025-08-09T08:12:55.578Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753931140431.json (31/07/2025)
[2025-08-09T08:12:55.580Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753927540359.json (31/07/2025)
[2025-08-09T08:12:55.582Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753923940247.json (31/07/2025)
[2025-08-09T08:12:55.584Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753920340284.json (31/07/2025)
[2025-08-09T08:12:55.586Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753916740264.json (31/07/2025)
[2025-08-09T08:12:55.588Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753913140311.json (31/07/2025)
[2025-08-09T08:12:55.590Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753909540187.json (30/07/2025)
[2025-08-09T08:12:55.592Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753905940330.json (30/07/2025)
[2025-08-09T08:12:55.593Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753902340526.json (30/07/2025)
[2025-08-09T08:12:55.595Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753898740258.json (30/07/2025)
[2025-08-09T08:12:55.597Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753895140408.json (30/07/2025)
[2025-08-09T08:12:55.599Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753891540265.json (30/07/2025)
[2025-08-09T08:12:55.601Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753887940232.json (30/07/2025)
[2025-08-09T08:12:55.603Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753884340888.json (30/07/2025)
[2025-08-09T08:12:55.605Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753880740905.json (30/07/2025)
[2025-08-09T08:12:55.607Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753877140992.json (30/07/2025)
[2025-08-09T08:12:55.608Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753873541173.json (30/07/2025)
[2025-08-09T08:12:55.611Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753869940923.json (30/07/2025)
[2025-08-09T08:12:55.613Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753866340832.json (30/07/2025)
[2025-08-09T08:12:55.615Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753862740798.json (30/07/2025)
[2025-08-09T08:12:55.617Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753859140890.json (30/07/2025)
[2025-08-09T08:12:55.619Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753855540767.json (30/07/2025)
[2025-08-09T08:12:55.620Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753854723179.json (30/07/2025)
[2025-08-09T08:12:55.622Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753819540865.json (29/07/2025)
[2025-08-09T08:12:55.624Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753815940668.json (29/07/2025)
[2025-08-09T08:12:55.626Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753812340719.json (29/07/2025)
[2025-08-09T08:12:55.628Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753808740852.json (29/07/2025)
[2025-08-09T08:12:55.630Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753805140730.json (29/07/2025)
[2025-08-09T08:12:55.632Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753801540994.json (29/07/2025)
[2025-08-09T08:12:55.634Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753797941264.json (29/07/2025)
[2025-08-09T08:12:55.636Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753794340777.json (29/07/2025)
[2025-08-09T08:12:55.638Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753790741990.json (29/07/2025)
[2025-08-09T08:12:55.639Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753787140678.json (29/07/2025)
[2025-08-09T08:12:55.641Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753783540664.json (29/07/2025)
[2025-08-09T08:12:55.643Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753779940691.json (29/07/2025)
[2025-08-09T08:12:55.645Z] CLEANUP:   🗑️  Verwijderd: members_backup_1753776340855.json (29/07/2025)
